person_id,person_name,election_id,ballot_paper_id,election_date,election_current,party_name,party_id,post_label,cancelled_poll,seats_contested,facebook_page_url,linkedin_url,twitter_username,youtube_profile,instagram_url,blue_sky_url,threads_url,tiktok_url
21107,Jenny Laing,sp.c.2026-05-07,sp.c.aberdeen-central.2026-05-07,2026-05-07,t,Labour Party,PP53,Aberdeen Central,f,1,,,,,,,,
123268,Jack Middleton,sp.c.2026-05-07,sp.c.aberdeen-central.2026-05-07,2026-05-07,t,Scottish National Party (SNP),PP102,Aberdeen Central,f,1,"""https://www.facebook.com/people/Jack-Middleton/61550335653627/""","""https://uk.linkedin.com/in/jackmiddletoncomms""","""jackmiddleton95""",,,,,
85485,Yi-Pei Chou Turvey,sp.c.2026-05-07,sp.c.aberdeen-central.2026-05-07,2026-05-07,t,Liberal Democrats,PP90,Aberdeen Central,f,1,"""https://www.facebook.com/ChouTurvey""",,,,"""https://www.instagram.com/Yipforbanchory/""",,,
1411,Stewart Whyte,sp.c.2026-05-07,sp.c.aberdeen-central.2026-05-07,2026-05-07,t,Conservative and Unionist Party,PP52,Aberdeen Central,f,1,"""https://www.facebook.com/StewartWhyte4AberdeenshireEast/""",,"""whyteforAEast""",,,,,
125804,James Wyllie,sp.c.2026-05-07,sp.c.aberdeen-central.2026-05-07,2026-05-07,t,Reform UK,PP7931,Aberdeen Central,f,1,,,,,,,,
21095,Stephen Mark Flynn,sp.c.2026-05-07,sp.c.aberdeen-deeside-and-north-kincardine.2026-05-07,2026-05-07,t,Scottish National Party (SNP),PP102,Aberdeen Deeside and North Kincardine,f,1,"""https://www.facebook.com/StephenFlynnSNP""",,"""StephenFlynnSNP""",,"""https://www.instagram.com/StephenFlynnSNP/""",,,
8218,Liam Kerr,sp.c.2026-05-07,sp.c.aberdeen-deeside-and-north-kincardine.2026-05-07,2026-05-07,t,Conservative and Unionist Party,PP52,Aberdeen Deeside and North Kincardine,f,1,"""https://www.facebook.com/liamkerrmsp/""",,"""LiamKerrMSP""",,,,,
117220,Iris Alexandra Leask,sp.c.2026-05-07,sp.c.aberdeen-deeside-and-north-kincardine.2026-05-07,2026-05-07,t,Independent,ynmp-party:2,Aberdeen Deeside and North Kincardine,f,1,,"""https://www.linkedin.com/in/iris-leask-89024652/""",,,,,,
123265,Matthew Lee,sp.c.2026-05-07,sp.c.aberdeen-deeside-and-north-kincardine.2026-05-07,2026-05-07,t,Labour Party,PP53,Aberdeen Deeside and North Kincardine,f,1,,,,,,,,
84865,Duncan Massey,sp.c.2026-05-07,sp.c.aberdeen-deeside-and-north-kincardine.2026-05-07,2026-05-07,t,Reform UK,PP7931,Aberdeen Deeside and North Kincardine,f,1,,,"""Duncan_Aberdeen""",,,,,
85520,Mel Sullivan,sp.c.2026-05-07,sp.c.aberdeen-deeside-and-north-kincardine.2026-05-07,2026-05-07,t,Liberal Democrats,PP90,Aberdeen Deeside and North Kincardine,f,1,"""https://www.facebook.com/share/17uGkrX7KV/""",,,,,,,
124717,Stephen Bowie,sp.c.2026-05-07,sp.c.aberdeen-donside.2026-05-07,2026-05-07,t,Alliance to Liberate Scotland,PP18280,Aberdeen Donside,f,1,"""https://www.facebook.com/share/1J9NX5an7a/""",,"""bowie_ATLS""",,,,,"""https://tiktok.com/@stephen.bowie.atls"""
21120,Jackie Dunbar,sp.c.2026-05-07,sp.c.aberdeen-donside.2026-05-07,2026-05-07,t,Scottish National Party (SNP),PP102,Aberdeen Donside,f,1,"""https://www.facebook.com/JackieDunbarSNP/""",,"""JackieDunbarSNP""",,,,,
85533,Claudia Leith,sp.c.2026-05-07,sp.c.aberdeen-donside.2026-05-07,2026-05-07,t,Reform UK,PP7931,Aberdeen Donside,f,1,,,,,,,,
85552,Hannah Powell,sp.c.2026-05-07,sp.c.aberdeen-donside.2026-05-07,2026-05-07,t,Conservative and Unionist Party,PP52,Aberdeen Donside,f,1,"""https://www.facebook.com/cllrhannahpowell""",,,,,,,
21097,Lynn Thomson,sp.c.2026-05-07,sp.c.aberdeen-donside.2026-05-07,2026-05-07,t,Labour Party,PP53,Aberdeen Donside,f,1,"""https://www.facebook.com/LynnForAberdeen/""",,"""LTLabour""",,"""https://www.instagram.com/lynnthomson04/""",,,
74389,Michael John Turney,sp.c.2026-05-07,sp.c.aberdeen-donside.2026-05-07,2026-05-07,t,Liberal Democrats,PP90,Aberdeen Donside,f,1,"""https://www.facebook.com/MichaelLibDem""","""https://uk.linkedin.com/in/michael-turvey-6146005""",,,,,,
72888,John Crawley,sp.c.2026-05-07,sp.c.aberdeenshire-east.2026-05-07,2026-05-07,t,Reform UK,PP7931,Aberdeenshire East,f,1,"""https://www.facebook.com/John4Ellon""",,,,,,,
5521,David Ronald Evans,sp.c.2026-05-07,sp.c.aberdeenshire-east.2026-05-07,2026-05-07,t,Liberal Democrats,PP90,Aberdeenshire East,f,1,"""https://www.angusmearnslibdems.org.uk/""",,,,,,,
123264,Janine Langler,sp.c.2026-05-07,sp.c.aberdeenshire-east.2026-05-07,2026-05-07,t,Labour Party,PP53,Aberdeenshire East,f,1,"""https://www.facebook.com/profile.php?id=61584554852428""",,,,,,,
19874,Douglas Lumsden,sp.c.2026-05-07,sp.c.aberdeenshire-east.2026-05-07,2026-05-07,t,Conservative and Unionist Party,PP52,Aberdeenshire East,f,1,"""https://www.facebook.com/DouglasForNEScotland""",,"""dlumsden""",,,,,
7554,Gillian Anne Martin,sp.c.2026-05-07,sp.c.aberdeenshire-east.2026-05-07,2026-05-07,t,Scottish National Party (SNP),PP102,Aberdeenshire East,f,1,"""https://www.facebook.com/gillianmartinsnp""",,"""GillianMSP""",,,,,
85465,Kate Blake,sp.c.2026-05-07,sp.c.aberdeenshire-west.2026-05-07,2026-05-07,t,Labour Party,PP53,Aberdeenshire West,f,1,"""https://fb.com/profile.php?id=61558559100215""",,"""c_l_blake""",,,,,
4246,Alexander Burnett,sp.c.2026-05-07,sp.c.aberdeenshire-west.2026-05-07,2026-05-07,t,Conservative and Unionist Party,PP52,Aberdeenshire West,f,1,,,"""AJABurnett""",,,,,
21470,Jeff Goodhall,sp.c.2026-05-07,sp.c.aberdeenshire-west.2026-05-07,2026-05-07,t,Liberal Democrats,PP90,Aberdeenshire West,f,1,"""https://www.facebook.com/Jeff1984Goodhall""",,,,,,,
117298,Jo Hart,sp.c.2026-05-07,sp.c.aberdeenshire-west.2026-05-07,2026-05-07,t,Reform UK,PP7931,Aberdeenshire West,f,1,"""https://www.facebook.com/profile.php?id=61560829332094""",,,,,,,
73806,Fatima Joji,sp.c.2026-05-07,sp.c.aberdeenshire-west.2026-05-07,2026-05-07,t,Scottish National Party (SNP),PP102,Aberdeenshire West,f,1,"""https://www.facebook.com/fatimazahrajoji/""",,"""fatima_joji""",,,"""https://bsky.app/profile/fatima-joji.bsky.social""",,
21344,Euan Blockley,sp.c.2026-05-07,sp.c.airdrie.2026-05-07,2026-05-07,t,Conservative and Unionist Party,PP52,Airdrie,f,1,"""https://www.facebook.com/EuanBlockley""",,"""EuanBlockley""",,,,,
6031,Neil Gray,sp.c.2026-05-07,sp.c.airdrie.2026-05-07,2026-05-07,t,Scottish National Party (SNP),PP102,Airdrie,f,1,"""https://www.facebook.com/NeilGraySNP/""",,"""neilcgray""",,,,,
35249,John Jo Leckie,sp.c.2026-05-07,sp.c.airdrie.2026-05-07,2026-05-07,t,British Unionist Party,PP2834,Airdrie,f,1,,,,,,,,
123141,Suzanne MacLeod,sp.c.2026-05-07,sp.c.airdrie.2026-05-07,2026-05-07,t,Labour Party,PP53,Airdrie,f,1,"""https://www.facebook.com/people/Suzanne-Macleod-for-Airdrie-Shotts-and-surrounding-villages/61580597458477/""",,,,,,,
125814,Brendan O'Donnell,sp.c.2026-05-07,sp.c.airdrie.2026-05-07,2026-05-07,t,Independent,ynmp-party:2,Airdrie,f,1,,,,,,,,
4075,Graham Simpson,sp.c.2026-05-07,sp.c.airdrie.2026-05-07,2026-05-07,t,Reform UK,PP7931,Airdrie,f,1,"""https://www.facebook.com/grahamsmsp/""","""https://www.linkedin.com/in/graham-simpson-960a33ab/""","""GrahamSMSP""",,,,,
36949,Edward John Thornley,sp.c.2026-05-07,sp.c.airdrie.2026-05-07,2026-05-07,t,Liberal Democrats,PP90,Airdrie,f,1,,,,,,"""https://bsky.app/profile/edthornley.bsky.social""",,
8314,Angela Constance,sp.c.2026-05-07,sp.c.almond-valley.2026-05-07,2026-05-07,t,Scottish National Party (SNP),PP102,Almond Valley,f,1,"""https://www.facebook.com/Re-elect-Angela-Constance-for-Almond-Valley-908849955851571/""",,"""AConstance23""",,,,,
22451,Damian Doran-Timson,sp.c.2026-05-07,sp.c.almond-valley.2026-05-07,2026-05-07,t,Conservative and Unionist Party,PP52,Almond Valley,f,1,,,"""timson_dj""",,,,,
124583,Malcom Kevin Jones,sp.c.2026-05-07,sp.c.almond-valley.2026-05-07,2026-05-07,t,Reform UK,PP7931,Almond Valley,f,1,,,,,,,,
22431,Caron Marianne Lindsay,sp.c.2026-05-07,sp.c.almond-valley.2026-05-07,2026-05-07,t,Liberal Democrats,PP90,Almond Valley,f,1,"""https://www.facebook.com/CaronLindsayLibDem/""","""https://www.linkedin.com/in/caron-lindsay-71791220/""","""caronmlindsay""",,,,,
123022,Jordan Stokoe,sp.c.2026-05-07,sp.c.almond-valley.2026-05-07,2026-05-07,t,Labour Party,PP53,Almond Valley,f,1,"""https://www.facebook.com/JordanStokoeLabour""",,,,,,,
85501,Dawn Black,sp.c.2026-05-07,sp.c.angus-north-and-mearns.2026-05-07,2026-05-07,t,Scottish National Party (SNP),PP102,Angus North and Mearns,f,1,"""https://www.facebook.com/dawnblackSNP""",,,,,,,
85534,Laurie Carnie,sp.c.2026-05-07,sp.c.angus-north-and-mearns.2026-05-07,2026-05-07,t,Reform UK,PP7931,Angus North and Mearns,f,1,,,,,,,,
123117,Martyn John Knights,sp.c.2026-05-07,sp.c.angus-north-and-mearns.2026-05-07,2026-05-07,t,Liberal Democrats,PP90,Angus North and Mearns,f,1,"""https://www.facebook.com/61579393118277""",,,,,,,
85538,David Allen Neil,sp.c.2026-05-07,sp.c.angus-north-and-mearns.2026-05-07,2026-05-07,t,Independent,ynmp-party:2,Angus North and Mearns,f,1,,,,,,,,
118151,Tracey Smith,sp.c.2026-05-07,sp.c.angus-north-and-mearns.2026-05-07,2026-05-07,t,Conservative and Unionist Party,PP52,Angus North and Mearns,f,1,"""https://www.facebook.com/Tracey2win""",,,,,,,
85484,Simon Peter Watson,sp.c.2026-05-07,sp.c.angus-north-and-mearns.2026-05-07,2026-05-07,t,Labour Party,PP53,Angus North and Mearns,f,1,"""https://www.facebook.com/SimonWatson4TorryFerryhill""",,"""Simon4TF""",,,,,
85221,Heather Doran,sp.c.2026-05-07,sp.c.angus-south.2026-05-07,2026-05-07,t,Labour Party,PP53,Angus South,f,1,"""https://www.facebook.com/heatherdoranforangus""",,,,,,,
21851,Angus Macmillan Douglas,sp.c.2026-05-07,sp.c.angus-south.2026-05-07,2026-05-07,t,Conservative and Unionist Party,PP52,Angus South,f,1,,,,,,,,
118202,Isobel Knights,sp.c.2026-05-07,sp.c.angus-south.2026-05-07,2026-05-07,t,Liberal Democrats,PP90,Angus South,f,1,"""https://www.facebook.com/profile.php?id=61564439671733""",,,,,,,
85222,Lloyd Melville,sp.c.2026-05-07,sp.c.angus-south.2026-05-07,2026-05-07,t,Scottish National Party (SNP),PP102,Angus South,f,1,"""https://www.facebook.com/LloydMSNP/""",,"""LloydAMelville""",,,,,
125014,Bill Reid,sp.c.2026-05-07,sp.c.angus-south.2026-05-07,2026-05-07,t,Reform UK,PP7931,Angus South,f,1,,,,,,,,
123263,Callum George,sp.c.2026-05-07,sp.c.argyll-and-bute.2026-05-07,2026-05-07,t,Labour Party,PP53,Argyll and Bute,f,1,"""https://www.facebook.com/drcallumgeorge""","""https://www.linkedin.com/in/callumgeorge/""",,,"""https://www.instagram.com/drcallumgeorge/""",,,
85942,Amanda Hampsey,sp.c.2026-05-07,sp.c.argyll-and-bute.2026-05-07,2026-05-07,t,Reform UK,PP7931,Argyll and Bute,f,1,"""https://www.facebook.com/AmandaHampseyABSL""",,"""amandahampsey""",,,,,
85913,Tommy Macpherson,sp.c.2026-05-07,sp.c.argyll-and-bute.2026-05-07,2026-05-07,t,Independent,ynmp-party:2,Argyll and Bute,f,1,"""https://www.facebook.com/p/Cllr-Tommy-Macpherson-South-Kintyre-Ward-MAKI-Area-Committee-100078345605097""",,,,,,,
72965,Jenni Minto,sp.c.2026-05-07,sp.c.argyll-and-bute.2026-05-07,2026-05-07,t,Scottish National Party (SNP),PP102,Argyll and Bute,f,1,"""https://www.facebook.com/JenniMintoSNP/""",,"""jenni_minto""",,,,,
3231,Alan Reid,sp.c.2026-05-07,sp.c.argyll-and-bute.2026-05-07,2026-05-07,t,Liberal Democrats,PP90,Argyll and Bute,f,1,"""https://www.facebook.com/AlanReidAandB""",,"""AlanReidAandB""",,,,,
8864,Mick Rice,sp.c.2026-05-07,sp.c.argyll-and-bute.2026-05-07,2026-05-07,t,Independent,ynmp-party:2,Argyll and Bute,f,1,,,,,,,,
20790,Peter Wallace,sp.c.2026-05-07,sp.c.argyll-and-bute.2026-05-07,2026-05-07,t,Conservative and Unionist Party,PP52,Argyll and Bute,f,1,"""https://www.facebook.com/VoteWallace""",,"""VoteWallaceUK""",,,,,
20373,Siobhian Brown,sp.c.2026-05-07,sp.c.ayr.2026-05-07,2026-05-07,t,Scottish National Party (SNP),PP102,Ayr,f,1,"""https://www.facebook.com/SiobhianBrown""",,"""Siobhianayr""",,"""https://www.instagram.com/siobhian_brownsnp/""","""https://bsky.app/profile/siobhian.bsky.social""",,"""https://www.tiktok.com/@siobhianbrownmsp"""
74392,Desmond Buchanan,sp.c.2026-05-07,sp.c.ayr.2026-05-07,2026-05-07,t,Liberal Democrats,PP90,Ayr,f,1,,,"""DesJBuchanan""",,,,,
72958,Sharon Dowey,sp.c.2026-05-07,sp.c.ayr.2026-05-07,2026-05-07,t,Conservative and Unionist Party,PP52,Ayr,f,1,"""https://www.facebook.com/SharonDoweyMSP""",,"""SharonDowey_""",,,,,
9109,Brian McGinley,sp.c.2026-05-07,sp.c.ayr.2026-05-07,2026-05-07,t,Labour Party,PP53,Ayr,f,1,,,,,,,,
